Model_ID,Batch_Size,Seq_Length,Offset,D_Model,N_Head,FF_Dim,Num_Layers,Kernel_Size,Model_File,Log_File,Test_Accuracy
58cbd5d1-5efd-4dd7-b106-13356001c7a6,8,14,1,16,2,16,2,1,model_58cbd5d1-5efd-4dd7-b106-13356001c7a6.pt,training_log_58cbd5d1-5efd-4dd7-b106-13356001c7a6.txt,0.9166666666666666
6e411fd5-3def-4ed1-a308-ba475b5777cd,8,14,1,16,2,16,2,3,model_6e411fd5-3def-4ed1-a308-ba475b5777cd.pt,training_log_6e411fd5-3def-4ed1-a308-ba475b5777cd.txt,0.9166666666666666
04b2747a-eb7c-4dc5-89a4-22c921a450ab,8,14,1,16,2,16,3,1,model_04b2747a-eb7c-4dc5-89a4-22c921a450ab.pt,training_log_04b2747a-eb7c-4dc5-89a4-22c921a450ab.txt,0.9166666666666666
9d337b76-7efe-4888-a700-cf79039093dc,8,14,1,16,2,16,3,3,model_9d337b76-7efe-4888-a700-cf79039093dc.pt,training_log_9d337b76-7efe-4888-a700-cf79039093dc.txt,0.8888888888888888
bcb97995-12b9-4677-96e2-ec896f8cf4cf,8,14,1,16,2,32,2,1,model_bcb97995-12b9-4677-96e2-ec896f8cf4cf.pt,training_log_bcb97995-12b9-4677-96e2-ec896f8cf4cf.txt,0.9305555555555556
ffe9d002-a2c1-4df1-b7bd-0356ef717df2,8,14,1,16,2,32,2,3,model_ffe9d002-a2c1-4df1-b7bd-0356ef717df2.pt,training_log_ffe9d002-a2c1-4df1-b7bd-0356ef717df2.txt,0.9166666666666666
d28cb278-a056-49d0-a64f-1fbb2cc1394c,8,14,1,16,2,32,3,1,model_d28cb278-a056-49d0-a64f-1fbb2cc1394c.pt,training_log_d28cb278-a056-49d0-a64f-1fbb2cc1394c.txt,0.9305555555555556
6b7151b5-30cc-43e9-a54b-683bc721e566,8,14,1,16,2,32,3,3,model_6b7151b5-30cc-43e9-a54b-683bc721e566.pt,training_log_6b7151b5-30cc-43e9-a54b-683bc721e566.txt,0.9166666666666666
1b77f82d-a801-452f-875a-386bf6df490b,8,14,1,16,4,16,2,1,model_1b77f82d-a801-452f-875a-386bf6df490b.pt,training_log_1b77f82d-a801-452f-875a-386bf6df490b.txt,0.9166666666666666
45e954e3-02f5-4919-abfe-a3390a737787,8,14,1,16,4,16,2,3,model_45e954e3-02f5-4919-abfe-a3390a737787.pt,training_log_45e954e3-02f5-4919-abfe-a3390a737787.txt,0.9305555555555556
c9bb7e61-64e7-4b14-936d-ffaee8af8bff,8,14,1,16,4,16,3,1,model_c9bb7e61-64e7-4b14-936d-ffaee8af8bff.pt,training_log_c9bb7e61-64e7-4b14-936d-ffaee8af8bff.txt,0.8472222222222222
1bfc5ba6-480b-4df9-bfc1-5ec8a367cb1c,8,14,1,16,4,16,3,3,model_1bfc5ba6-480b-4df9-bfc1-5ec8a367cb1c.pt,training_log_1bfc5ba6-480b-4df9-bfc1-5ec8a367cb1c.txt,0.8888888888888888
6dbdf16c-e69b-464c-ab99-bc57343db67b,8,14,1,16,4,32,2,1,model_6dbdf16c-e69b-464c-ab99-bc57343db67b.pt,training_log_6dbdf16c-e69b-464c-ab99-bc57343db67b.txt,0.9305555555555556
8530154d-dafc-4b7c-b4b8-6d728a1ea80f,8,14,1,16,4,32,2,3,model_8530154d-dafc-4b7c-b4b8-6d728a1ea80f.pt,training_log_8530154d-dafc-4b7c-b4b8-6d728a1ea80f.txt,0.9305555555555556
9a5e8ef7-3fd6-43b0-95ce-35906ab6c59d,8,14,1,16,4,32,3,1,model_9a5e8ef7-3fd6-43b0-95ce-35906ab6c59d.pt,training_log_9a5e8ef7-3fd6-43b0-95ce-35906ab6c59d.txt,0.8888888888888888
04ce4c66-6c9b-4cea-84c6-5ee2b4fb2640,8,14,1,16,4,32,3,3,model_04ce4c66-6c9b-4cea-84c6-5ee2b4fb2640.pt,training_log_04ce4c66-6c9b-4cea-84c6-5ee2b4fb2640.txt,0.9027777777777778
b3d2951c-030c-4f3a-b90e-d6cbc4510cb1,8,14,1,32,2,32,2,1,model_b3d2951c-030c-4f3a-b90e-d6cbc4510cb1.pt,training_log_b3d2951c-030c-4f3a-b90e-d6cbc4510cb1.txt,0.9027777777777778
24a5b410-4558-418d-ad88-aeb835257462,8,14,1,32,2,32,2,3,model_24a5b410-4558-418d-ad88-aeb835257462.pt,training_log_24a5b410-4558-418d-ad88-aeb835257462.txt,0.9305555555555556
